General,General
Enabled,Enabled
Page Layout for list page,Page Layout for list page
Page Layout for detail page,Page Layout for detail page
Select Yes to enable this feature,Select Yes to enable this feature
Choose page layout for news list page,Choose page layout for news list page
Choose page layout for news detail page,Choose page layout for news detail page
News,Tin Tức
Yes,Yes
No,No
Manage Banners,Quản Lý Banner
Manage Banner Groups,Quản Lý Nhóm Banner
Setting, Cài Đặt
Add News,Thêm Tin Mới
News Information,News Information
Publishing Options,Publishing Options
Seo Options,Seo Options
Title ,Title 
Published?,Published?
Intro ,Intro 
Content ,Nội Dung
Start publishing on,Start publishing on
End publishing on,End publishing on
Browser Title,Browser Title
Keywords,Từ Khóa
Description,Mô Tả
Save News,Lưu Tin
Delete News,Xóa Tin
Edit News,Chỉnh Sửa
