"EZ Modules", "Tùy biến website"
"EZ Blog", "Quản lý bài viết"
"Add post", "Thêm bài viết"
"Manage Posts", "Danh sách bài viết"
"Manage Comments", "Quản lý bình luận"
"Blog Categories", "Danh mục tin"
"Post Information", "Thông tin bài viết"
"Add New Post", "Thêm bài viết mới"
"Save Record", "Lưu lại"
"Is Active", "Có hiệu lực"
"Identifier", "Mã bài viết"
"Use in URL Rewrite Management", "Sử dụng trong đường dẫn bài viết"
"Select A Category", "--Chọn danh mục--"
"Hits", "Lượt xem"
"Category Manager", "Quản lý danh mục"
"Add Record", "Thêm mới"
"Mass Generate Rewrite URLs", "Tạo lại đường dẫn hàng loạt"
"Mass Resize Images", "Đổi kích thước ảnh hàng loạt"
"Posts Manager", "Quản lý bài viết"
"Category Information", "Thông tin danh mục"
"Edit Record '%s'", "Sửa lại '%s'"
"Delete Record", "Xóa"
"Rewrite URLs Of All Post are resized successful", "Tất cả bài viết đã được tạo lại đường dẫn thành công"
"Images Of All Post are resized successful", "Tất cả bài viết đã được đổi kích thước ảnh thành công"
"Layout Design", "Kiểu giao diện"
"Alias", "Mã danh mục"
"Parent", "Danh mục cha"
"Category was successfully saved", "Danh mục được lưu lại thành công"
"Add New Category", "Thêm danh mục mới"
"Comment Manager", "Quản lý bình luận"
"General Setting", "Cấu hình chung"
"Current Update Time", "Thời gian hiện tại"
"Enabled Jquery Libs", "Sử dụng thư viện JQuery"
"If you site load more than 2 query libs, recommend you uses this option to disable loading query libs.", ""
"Module Title", "Tiêu đề module"
